	TF	BM	BM+TF	cofactors	cofactors+TF	random	random+TF
0	ATF7	0.8803923430458834	0.9116853896969251	0.8911983069180082	0.9023815942306808	0.8306170549559319	0.8959238765930525
1	ERG	0.7044402405036788	0.6070289288263238	0.6322425540989359	0.6322701796425378	0.6328799511667459	0.643591845031042
2	ETV4	0.9060635391018901	0.8855831494448282	0.7990461170301648	0.8775460750018336	0.688469537064678	0.8794783348248224
3	HNF4A	0.9391763963355453	0.9446134066852931	0.9073269132667245	0.9381880766527164	0.8758052218347357	0.9274942441262717
4	JUND	0.8867570912080242	0.8924763721721224	0.88810334550512	0.8879999701623575	0.881533712758873	0.8891086774957424
5	KLF9	0.9004723341587523	0.9230556332040729	0.7512840230641082	0.9068299485086125	0.6814120183311869	0.9019143780533249
6	MAX	0.8651087608675144	0.8714519735725836	0.8778990263904565	0.8790279692694354	0.860596543231746	0.8782762530429318
7	MEF2A	0.7961107222343647	0.8938491738430189	0.751906514038399	0.9211181904932101	0.6682493119831949	0.880691936947861
8	MNT	0.9016204644819265	0.8791165531877345	0.8822841793462841	0.8911886607536555	0.8252638751528298	0.8761915204538286
9	NFE2L1	0.9600748245426785	0.9512273409281903	0.9671583976939051	0.9504232027414516	0.6709352349837784	0.8988702470718373
10	NR2C2	0.8691234454493451	0.8946491066325969	0.7521185589938003	0.8490625418097274	0.6760937356975198	0.7889322657177977
11	SP1	0.7746055921063929	0.8169425629452622	0.7549219642601352	0.7748971371663798	0.790146023330187	0.8131880189516657
12	SPI1	0.9375784716024471	0.9480681165125644	0.9350558925465651	0.9473662740448754	0.9181341374766457	0.9409403249282839
13	SREBF2	0.48166666666666663	0.47416666666666674	0.4608333333333333	0.19444444444444442	0.27944444444444444	0.49083333333333334
14	VDR	0.768832089216272	0.7368103992796573	0.5602570774573522	0.6694597534906086	0.5777016450464055	0.6031295589074116
15	ZNF740	0.8390468896942235	0.9000868751768	0.7572423157297108	0.8033205216300455	0.6482098923800003	0.8375121648182156
