	TF	BM	BM+TF	cofactors	cofactors+TF	random	random+TF
0	ATF7	0.5792854179254674	0.6186774891833263	0.6098170227314027	0.6259044061148449	0.5032093279866217	0.6396157626191259
1	ERG	0.30802028581782587	0.26067360746953855	0.13466808763396704	0.2241343066635439	0.26316869779044877	0.22318772124328876
2	ETV4	0.6852520784279265	0.6705978785516196	0.4483980544806836	0.6487503344221465	0.29177628160432495	0.6232618876366212
3	HNF4A	0.734838292334509	0.7640198705200258	0.6254284406586501	0.7248619454956078	0.6008083363331643	0.7155012671265766
4	JUND	0.650749798582491	0.6543886279194258	0.6555802469326244	0.6546950297511118	0.6317652846617151	0.6499214186711859
5	KLF9	0.6635997198434157	0.7198425917685015	0.41344530403523194	0.6869109848772456	0.3088684254777504	0.6807439271836839
6	MAX	0.6338677474672562	0.6448433798008317	0.6311463611023369	0.6620587532349319	0.6038527394124482	0.654416527868567
7	MEF2A	0.4510704941715044	0.6258339081890625	0.39012312691156936	0.7027230002870506	0.25593286625156825	0.5978280276770231
8	MNT	0.7034272537971468	0.6445787102034176	0.648801479743588	0.681794623599111	0.5056215630998945	0.6228642770389424
9	NFE2L1	0.6153161957440285	0.7532577100254588	0.8435079404357901	0.845645426746449	0.20922818428798834	0.6809615406295053
10	NR2C2	0.5938127727409924	0.6348483486625479	0.3860318989121798	0.5463819525028932	0.27020662203293616	0.4070828056650567
11	SP1	0.4235895872250361	0.48002439105152855	0.38016241226954633	0.42185667092645307	0.43508500797073324	0.47685416864431307
12	SPI1	0.7519238951255983	0.7757953232181137	0.7402698689944185	0.7839601898324322	0.6924439238594415	0.7611378785977598
13	SREBF2	-0.2	-0.09256226726912467	-0.06324555320336758	0.0	-0.19553039218277396	0.20814076449950777
14	VDR	0.18746021493074103	0.3221109675981392	0.1726509777377455	0.16113766291349255	0.05747263962143392	0.01897956905416772
15	ZNF740	0.5007903282908007	0.5435949499999512	0.12575209238662755	0.33351162257858713	-0.060392868420170984	0.4979338995706059
